days,Occupancy
1,614
2,761
3,958
4,1121
5,1254
6,1324
7,1387
8,1428
9,1447
10,1460
11,1448
12,1432
13,1430
14,1429
15,1381
16,1300
17,1218
18,1075
19,602
20,779
21,975
22,1138
23,1306
24,1379
25,1410
26,1430
27,1446
28,1437
29,1418
30,1427
31,1422
32,1409
33,1378
34,1303
35,1203
36,1049
37,615
38,772
39,937
40,1119
41,1230
42,1285
43,1335
44,1366
45,1394
46,1408
47,1422
48,1419
49,1421
50,1388
51,1346
52,1269
53,1170
54,1028
55,587
56,738
57,900
58,1013
59,1125
60,1186
61,1229
62,1250
63,1256
64,1262
65,1267
66,1256
67,1245
68,1205
69,1180
70,1130
71,1051
72,906
73,304
74,337
75,397
76,455
77,532
78,584
79,626
80,701
81,763
82,805
83,855
84,875
85,917
86,925
87,954
88,924
89,865
90,782
91,285
92,248
93,259
94,282
95,297
96,308
97,332
98,380
99,417
100,465
101,480
102,487
103,487
104,497
105,478
106,454
107,421
108,375
109,540
110,667
111,876
112,1049
113,1200
114,1238
115,1281
116,1300
117,1324
118,1331
119,1335
120,1327
121,1307
122,1276
123,1244
124,1197
125,1135
126,1003
127,564
128,696
129,852
130,1082
131,1210
132,1310
133,1343
134,1369
135,1396
136,1431
137,1425
138,1406
139,1394
140,1349
141,1290
142,1226
143,1149
144,1006
145,608
146,734
147,943
148,1097
149,1263
150,1333
151,1374
152,1392
153,1394
154,1407
155,1397
156,1390
157,1374
158,1346
159,1263
160,1205
161,1124
162,972
163,532
164,727
165,925
166,1102
167,1240
168,1322
169,1367
170,1393
171,1425
172,1428
173,1428
174,1426
175,1402
176,1366
177,1335
178,1292
179,1204
180,1069
181,556
182,689
183,858
184,1010
185,1142
186,1192
187,1220
188,1239
189,1240
190,1226
191,1225
192,1205
193,1191
194,1182
195,1134
196,1048
197,969
198,832
199,290
200,342
201,391
202,437
203,500
204,552
205,613
206,629
207,669
208,708
209,783
210,848
211,863
212,880
213,905
214,881
215,853
216,789
217,297
218,324
219,420
220,520
221,675
222,743
223,796
224,860
225,943
226,968
227,965
228,930
229,871
230,794
231,714
232,629
233,567
234,470
235,535
236,639
237,802
238,940
239,1113
240,1182
241,1248
242,1267
243,1285
244,1288
245,1292
246,1278
247,1277
248,1274
249,1242
250,1174
251,1097
252,943
253,604
254,733
255,925
256,1092
257,1244
258,1318
259,1370
260,1361
261,1397
262,1409
263,1409
264,1405
265,1387
266,1372
267,1329
268,1260
269,1219
270,1164
271,632
272,730
273,956
274,1161
275,1262
276,1360
277,1408
278,1412
279,1437
280,1439
281,1418
282,1419
283,1390
284,1376
285,1352
286,1275
287,1177
288,1028
289,270
290,288
291,341
292,380
293,461
294,496
295,563
296,600
297,642
298,695
299,746
300,781
301,779
302,807
303,795
304,789
305,744
306,699
307,297
308,303
309,311
310,335
311,359
312,368
313,378
314,414
315,468
316,508
317,525
318,533
319,540
320,530
321,526
322,519
323,471
324,439
325,563
326,718
327,891
328,1012
329,1074
330,1118
331,1137
332,1171
333,1210
334,1234
335,1247
336,1245
337,1242
338,1252
339,1239
340,1196
341,1111
342,966
343,547
344,665
345,841
346,923
347,1065
348,1135
349,1159
350,1190
351,1205
352,1220
353,1244
354,1242
355,1231
356,1229
357,1209
358,1166
359,1102
360,951
361,559
362,721
363,874
364,989
365,1086
366,1129
367,1167
368,1183
369,1209
370,1228
371,1245
372,1252
373,1268
374,1266
375,1243
376,1203
377,1118
378,959
379,576
380,722
381,869
382,986
383,1054
384,1110
385,1147
386,1180
387,1208
388,1220
389,1250
390,1254
391,1263
392,1255
393,1238
394,1193
395,1099
396,985
397,559
398,559
399,723
400,835
401,931
402,981
403,1014
404,1031
405,1052
406,1070
407,1102
408,1090
409,1125
410,1126
411,1111
412,1052
413,978
414,865
415,258
416,278
417,343
418,383
419,440
420,501
421,586
422,631
423,708
424,737
425,775
426,800
427,822
428,836
429,870
430,855
431,809
432,740
433,275
434,275
435,275
436,275
437,284
438,314
439,352
440,380
441,379
442,427
443,453
444,484
445,526
446,525
447,524
448,499
449,480
450,453
451,569
452,719
453,932
454,1084
455,1225
456,1265
457,1305
458,1311
459,1319
460,1326
461,1334
462,1334
463,1335
464,1304
465,1263
466,1225
467,1149
468,1011
469,631
470,748
471,956
472,1089
473,1273
474,1326
475,1381
476,1397
477,1395
478,1405
479,1407
480,1416
481,1419
482,1425
483,1376
484,1332
485,1222
486,1063
487,585
488,742
489,893
490,1114
491,1262
492,1356
493,1410
494,1431
495,1443
496,1439
497,1437
498,1415
499,1414
500,1390
501,1370
502,1268
503,1143
504,1000
505,611
506,746
507,944
508,1103
509,1253
510,1296
511,1340
512,1351
513,1375
514,1391
515,1401
516,1402
517,1406
518,1384
519,1327
520,1273
521,1193
522,1075
523,587
524,714
525,876
526,1076
527,1154
528,1195
529,1228
530,1234
531,1243
532,1236
533,1249
534,1225
535,1209
536,1190
537,1128
538,1058
539,975
540,865
541,317
542,335
543,384
544,430
545,468
546,516
547,551
548,604
549,664
550,709
551,761
552,788
553,793
554,808
555,783
556,777
557,705
558,672
559,276
560,282
561,299
562,338
563,354
